Fri Jan 20 16:34:04 2023    profiling/profile.dat

         5924224 function calls (5841639 primitive calls) in 26.705 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.026    0.001    0.035    0.001 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/serialization.py:574(_save)
       30    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/distributed/__init__.py:8(is_available)
       30    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/distributed/distributed_c10d.py:560(is_initialized)
       30    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/sampler.py:135(__len__)
       30    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/sampler.py:264(__len__)
       30    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/_utils/fetch.py:8(__init__)
       30    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/_utils/fetch.py:48(__init__)
       30    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/dataloader.py:75(create_fetcher)
       30    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/dataloader.py:99(_get_distributed_settings)
       30    0.000    0.000    0.002    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/dataloader.py:376(_get_iterator)
